"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","opinion_ID","opinion_by_ID","opinion_by","opinion_by_code"
34,"TRIS:1989:0091:UK:N",9,"United Kingdom","UK",1989-04-28,1989,1990-08-14,1990,"TRIS:1989:0091:UK:O:FR",2,"France","FR"
35,"TRIS:1989:0095:IT:N",4,"Italy","IT",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:O:EC",34,"Commission","EC"
36,"TRIS:1989:0096:IT:N",4,"Italy","IT",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0096:IT:O:EC",34,"Commission","EC"
37,"TRIS:1989:0099:UK:N",9,"United Kingdom","UK",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:O:DE",3,"Germany","DE"
38,"TRIS:1989:0099:UK:N",9,"United Kingdom","UK",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:O:FR",2,"France","FR"
39,"TRIS:1989:0101:ES:N",12,"Spain","ES",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:O:EC",34,"Commission","EC"
40,"TRIS:1989:0102:DE:N",3,"Germany","DE",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0102:DE:O:EC",34,"Commission","EC"
41,"TRIS:1989:0103:DE:N",3,"Germany","DE",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:O:EL",10,"Greece","EL"
42,"TRIS:1989:0103:DE:N",3,"Germany","DE",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:O:FR",2,"France","FR"
43,"TRIS:1989:0106:DE:N",3,"Germany","DE",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:O:EC",34,"Commission","EC"
44,"TRIS:1989:0106:DE:N",3,"Germany","DE",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:O:FR",2,"France","FR"
45,"TRIS:1989:0108:DE:N",3,"Germany","DE",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:O:FR",2,"France","FR"
46,"TRIS:1989:0108:DE:N",3,"Germany","DE",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:O:IT",4,"Italy","IT"
47,"TRIS:1989:0108:DE:N",3,"Germany","DE",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:O:NL",6,"Netherlands","NL"
48,"TRIS:1989:0115:NL:N",6,"Netherlands","NL",1989-05-23,1989,1989-11-24,1989,"TRIS:1989:0115:NL:O:FR",2,"France","FR"
49,"TRIS:1989:0116:NL:N",6,"Netherlands","NL",1989-05-23,1989,1989-11-27,1989,"TRIS:1989:0116:NL:O:FR",2,"France","FR"
50,"TRIS:1989:0113:NL:N",6,"Netherlands","NL",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:O:DE",3,"Germany","DE"
51,"TRIS:1989:0113:NL:N",6,"Netherlands","NL",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:O:FR",2,"France","FR"
52,"TRIS:1989:0113:NL:N",6,"Netherlands","NL",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:O:UK",9,"United Kingdom","UK"
53,"TRIS:1989:0114:DE:N",3,"Germany","DE",1989-05-25,1989,1989-11-27,1989,"TRIS:1989:0114:DE:O:EC",34,"Commission","EC"
54,"TRIS:1989:0125:DE:N",3,"Germany","DE",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:O:EC",34,"Commission","EC"
55,"TRIS:1989:0125:DE:N",3,"Germany","DE",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:O:FR",2,"France","FR"
56,"TRIS:1989:0126:DE:N",3,"Germany","DE",1989-06-02,1989,1989-12-11,1989,"TRIS:1989:0126:DE:O:EC",34,"Commission","EC"
57,"TRIS:1989:0130:UK:N",9,"United Kingdom","UK",1989-06-05,1989,1989-12-18,1989,"TRIS:1989:0130:UK:O:DE",3,"Germany","DE"
58,"TRIS:1989:0131:DE:N",3,"Germany","DE",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:O:EC",34,"Commission","EC"
59,"TRIS:1989:0131:DE:N",3,"Germany","DE",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:O:FR",2,"France","FR"
60,"TRIS:1989:0132:DE:N",3,"Germany","DE",1989-06-05,1989,1990-01-22,1990,"TRIS:1989:0132:DE:O:EC",34,"Commission","EC"
61,"TRIS:1989:0133:DE:N",3,"Germany","DE",1989-06-07,1989,1989-12-14,1989,"TRIS:1989:0133:DE:O:EC",34,"Commission","EC"
62,"TRIS:1989:0135:IT:N",4,"Italy","IT",1989-06-07,1989,1990-01-03,1990,"TRIS:1989:0135:IT:O:EC",34,"Commission","EC"
63,"TRIS:1989:0137:BE:N",1,"Belgium","BE",1989-06-09,1989,1990-07-04,1990,"TRIS:1989:0137:BE:O:UK",9,"United Kingdom","UK"
64,"TRIS:1989:0138:DE:N",3,"Germany","DE",1989-06-12,1989,1989-12-20,1989,"TRIS:1989:0138:DE:O:EC",34,"Commission","EC"
65,"TRIS:1989:0141:ES:N",12,"Spain","ES",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:O:DK",7,"Denmark","DK"
66,"TRIS:1989:0143:DE:N",3,"Germany","DE",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:O:FR",2,"France","FR"
67,"TRIS:1989:0143:DE:N",3,"Germany","DE",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:O:UK",9,"United Kingdom","UK"
68,"TRIS:1989:0144:DE:N",3,"Germany","DE",1989-06-16,1989,1990-01-03,1990,"TRIS:1989:0144:DE:O:EC",34,"Commission","EC"
69,"TRIS:1989:0151:ES:N",12,"Spain","ES",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:O:FR",2,"France","FR"
70,"TRIS:1989:0152:DE:N",3,"Germany","DE",1989-06-28,1989,1990-03-07,1990,"TRIS:1989:0152:DE:O:EC",34,"Commission","EC"
71,"TRIS:1989:0153:BE:N",1,"Belgium","BE",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:O:EC",34,"Commission","EC"
72,"TRIS:1989:0153:BE:N",1,"Belgium","BE",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:O:FR",2,"France","FR"
73,"TRIS:1989:0153:BE:N",1,"Belgium","BE",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:O:UK",9,"United Kingdom","UK"
74,"TRIS:1989:0155:BE:N",1,"Belgium","BE",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:O:DE",3,"Germany","DE"
75,"TRIS:1989:0155:BE:N",1,"Belgium","BE",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:O:FR",2,"France","FR"
76,"TRIS:1989:0155:BE:N",1,"Belgium","BE",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:O:NL",6,"Netherlands","NL"
77,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:BE",1,"Belgium","BE"
78,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:EC",34,"Commission","EC"
