"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","comment_ID","comment_by"
41,"TRIS:1989:0141:ES:N","Spain",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:C:EC","Commission"
42,"TRIS:1989:0142:DE:N","Germany",1989-06-14,1989,1989-09-21,1989,"TRIS:1989:0142:DE:C:EC","Commission"
43,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:EC","Commission"
44,"TRIS:1989:0149:IT:N","Italy",1989-06-21,1989,1989-10-02,1989,"TRIS:1989:0149:IT:C:FR","France"
45,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:EC","Commission"
46,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:UK","United Kingdom"
47,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:PT","Portugal"
48,"TRIS:1989:0157:NL:N","Netherlands",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:C:EL","Greece"
49,"TRIS:1989:0164:NL:N","Netherlands",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:C:DE","Germany"
50,"TRIS:1989:0164:NL:N","Netherlands",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:C:DK","Denmark"
51,"TRIS:1989:0165:FR:N","France",1989-07-12,1989,1990-08-02,1990,"TRIS:1989:0165:FR:C:ES","Spain"
52,"TRIS:1989:0166:DE:N","Germany",1989-07-12,1989,1989-11-27,1989,"TRIS:1989:0166:DE:C:EC","Commission"
53,"TRIS:1989:0171:DE:N","Germany",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:C:BE","Belgium"
54,"TRIS:1989:0176:UK:N","United Kingdom",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:DE","Germany"
55,"TRIS:1989:0176:UK:N","United Kingdom",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:EC","Commission"
56,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:EC","Commission"
57,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:ES","Spain"
58,"TRIS:1989:0178:PT:N","Portugal",1989-07-24,1989,1989-11-09,1989,"TRIS:1989:0178:PT:C:ES","Spain"
59,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:DK","Denmark"
60,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:UK","United Kingdom"
61,"TRIS:1989:0180:FR:N","France",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:C:EC","Commission"
62,"TRIS:1989:0195:DK:N","Denmark",1989-08-09,1989,1990-01-03,1990,"TRIS:1989:0195:DK:C:EC","Commission"
63,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:EC","Commission"
64,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IT","Italy"
65,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:BE","Belgium"
66,"TRIS:1989:0201:BE:N","Belgium",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:C:FR","France"
67,"TRIS:1989:0207:DE:N","Germany",1989-08-18,1989,1989-11-27,1989,"TRIS:1989:0207:DE:C:FR","France"
68,"TRIS:1989:0214:BE:N","Belgium",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:C:FR","France"
69,"TRIS:1989:0215:BE:N","Belgium",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:C:EC","Commission"
70,"TRIS:1989:0215:BE:N","Belgium",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:C:ES","Spain"
71,"TRIS:1989:0216:EL:N","Greece",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:BE","Belgium"
72,"TRIS:1989:0216:EL:N","Greece",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:NL","Netherlands"
73,"TRIS:1989:0216:EL:N","Greece",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:UK","United Kingdom"
74,"TRIS:1989:0219:DE:N","Germany",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:BE","Belgium"
75,"TRIS:1989:0219:DE:N","Germany",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:FR","France"
76,"TRIS:1989:0220:ES:N","Spain",1989-09-12,1989,1990-04-05,1990,"TRIS:1989:0220:ES:C:FR","France"
77,"TRIS:1989:0221:ES:N","Spain",1989-09-12,1989,1990-01-05,1990,"TRIS:1989:0221:ES:C:EC","Commission"
78,"TRIS:1989:0222:DK:N","Denmark",1989-09-12,1989,1990-01-08,1990,"TRIS:1989:0222:DK:C:EC","Commission"
79,"TRIS:1989:0224:UK:N","United Kingdom",1989-09-14,1989,1989-12-18,1989,"TRIS:1989:0224:UK:C:IT","Italy"
80,"TRIS:1989:0146:DK:N","Denmark",1989-09-16,1989,1990-07-11,1990,"TRIS:1989:0146:DK:C:EC","Commission"
81,"TRIS:1989:0146:DK:N","Denmark",1989-09-16,1989,1990-07-11,1990,"TRIS:1989:0146:DK:C:FR","France"
82,"TRIS:1989:0226:EL:N","Greece",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:C:FR","France"
83,"TRIS:1989:0228:BE:N","Belgium",1989-09-18,1989,1990-03-21,1990,"TRIS:1989:0228:BE:C:EC","Commission"
84,"TRIS:1989:0229:NL:N","Netherlands",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:C:DE","Germany"
85,"TRIS:1989:0232:FR:N","France",1989-09-22,1989,1990-03-23,1990,"TRIS:1989:0232:FR:C:UK","United Kingdom"
86,"TRIS:1989:0233:ES:N","Spain",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0233:ES:C:UK","United Kingdom"
87,"TRIS:1989:0234:ES:N","Spain",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:C:FR","France"
88,"TRIS:1989:0238:BE:N","Belgium",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0238:BE:C:UK","United Kingdom"
89,"TRIS:1989:0239:LU:N","Luxembourg",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0239:LU:C:UK","United Kingdom"
90,"TRIS:1989:0240:NL:N","Netherlands",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0240:NL:C:UK","United Kingdom"
