"key_ID","year","comment_by_ID","comment_by","comment_by_code","count_comments"
153,1995,9,"United Kingdom","UK",21
154,1995,10,"Greece","EL",0
155,1995,11,"Portugal","PT",2
156,1995,12,"Spain","ES",18
157,1995,13,"Austria","AT",24
158,1995,14,"Finland","FI",2
159,1995,15,"Sweden","SE",1
160,1995,29,"Iceland","IS",0
161,1995,30,"Liechtenstein","LI",0
162,1995,31,"Norway","NO",0
163,1995,32,"Switzerland","CH",0
164,1995,33,"Turkey","TR",0
165,1995,34,"Commission","EC",121
166,1995,35,"European Free Trade Association","EFTA",4
167,1996,1,"Belgium","BE",1
168,1996,2,"France","FR",38
169,1996,3,"Germany","DE",13
170,1996,4,"Italy","IT",29
171,1996,5,"Luxembourg","LU",0
172,1996,6,"Netherlands","NL",19
173,1996,7,"Denmark","DK",3
174,1996,8,"Ireland","IE",0
175,1996,9,"United Kingdom","UK",30
176,1996,10,"Greece","EL",0
177,1996,11,"Portugal","PT",3
178,1996,12,"Spain","ES",54
179,1996,13,"Austria","AT",11
180,1996,14,"Finland","FI",6
181,1996,15,"Sweden","SE",11
182,1996,29,"Iceland","IS",0
183,1996,30,"Liechtenstein","LI",0
184,1996,31,"Norway","NO",0
185,1996,32,"Switzerland","CH",0
186,1996,33,"Turkey","TR",0
187,1996,34,"Commission","EC",204
188,1996,35,"European Free Trade Association","EFTA",4
189,1997,1,"Belgium","BE",4
190,1997,2,"France","FR",32
191,1997,3,"Germany","DE",37
192,1997,4,"Italy","IT",50
193,1997,5,"Luxembourg","LU",0
194,1997,6,"Netherlands","NL",28
195,1997,7,"Denmark","DK",3
196,1997,8,"Ireland","IE",1
197,1997,9,"United Kingdom","UK",39
198,1997,10,"Greece","EL",0
199,1997,11,"Portugal","PT",4
200,1997,12,"Spain","ES",48
201,1997,13,"Austria","AT",19
202,1997,14,"Finland","FI",3
203,1997,15,"Sweden","SE",5
204,1997,29,"Iceland","IS",0
205,1997,30,"Liechtenstein","LI",0
206,1997,31,"Norway","NO",0
207,1997,32,"Switzerland","CH",0
208,1997,33,"Turkey","TR",0
209,1997,34,"Commission","EC",245
210,1997,35,"European Free Trade Association","EFTA",3
211,1998,1,"Belgium","BE",2
212,1998,2,"France","FR",33
213,1998,3,"Germany","DE",16
214,1998,4,"Italy","IT",66
215,1998,5,"Luxembourg","LU",0
216,1998,6,"Netherlands","NL",14
217,1998,7,"Denmark","DK",7
218,1998,8,"Ireland","IE",1
219,1998,9,"United Kingdom","UK",20
220,1998,10,"Greece","EL",1
221,1998,11,"Portugal","PT",4
222,1998,12,"Spain","ES",36
223,1998,13,"Austria","AT",19
224,1998,14,"Finland","FI",6
225,1998,15,"Sweden","SE",11
226,1998,29,"Iceland","IS",0
227,1998,30,"Liechtenstein","LI",0
228,1998,31,"Norway","NO",0
229,1998,32,"Switzerland","CH",0
230,1998,33,"Turkey","TR",0
231,1998,34,"Commission","EC",171
232,1998,35,"European Free Trade Association","EFTA",1
233,1999,1,"Belgium","BE",3
234,1999,2,"France","FR",13
235,1999,3,"Germany","DE",36
236,1999,4,"Italy","IT",83
237,1999,5,"Luxembourg","LU",0
238,1999,6,"Netherlands","NL",13
239,1999,7,"Denmark","DK",6
240,1999,8,"Ireland","IE",2
241,1999,9,"United Kingdom","UK",23
242,1999,10,"Greece","EL",1
243,1999,11,"Portugal","PT",3
244,1999,12,"Spain","ES",28
245,1999,13,"Austria","AT",13
246,1999,14,"Finland","FI",6
247,1999,15,"Sweden","SE",8
248,1999,29,"Iceland","IS",0
249,1999,30,"Liechtenstein","LI",0
250,1999,31,"Norway","NO",0
251,1999,32,"Switzerland","CH",0
252,1999,33,"Turkey","TR",0
253,1999,34,"Commission","EC",169
254,1999,35,"European Free Trade Association","EFTA",2
255,2000,1,"Belgium","BE",2
256,2000,2,"France","FR",21
257,2000,3,"Germany","DE",39
258,2000,4,"Italy","IT",60
259,2000,5,"Luxembourg","LU",0
260,2000,6,"Netherlands","NL",16
261,2000,7,"Denmark","DK",5
262,2000,8,"Ireland","IE",0
263,2000,9,"United Kingdom","UK",19
264,2000,10,"Greece","EL",0
265,2000,11,"Portugal","PT",1
266,2000,12,"Spain","ES",26
267,2000,13,"Austria","AT",11
268,2000,14,"Finland","FI",2
269,2000,15,"Sweden","SE",6
270,2000,29,"Iceland","IS",0
271,2000,30,"Liechtenstein","LI",0
272,2000,31,"Norway","NO",0
273,2000,32,"Switzerland","CH",0
274,2000,33,"Turkey","TR",0
275,2000,34,"Commission","EC",255
276,2000,35,"European Free Trade Association","EFTA",0
277,2001,1,"Belgium","BE",2
278,2001,2,"France","FR",19
279,2001,3,"Germany","DE",23
280,2001,4,"Italy","IT",32
281,2001,5,"Luxembourg","LU",0
282,2001,6,"Netherlands","NL",15
283,2001,7,"Denmark","DK",7
284,2001,8,"Ireland","IE",0
285,2001,9,"United Kingdom","UK",10
286,2001,10,"Greece","EL",0
287,2001,11,"Portugal","PT",5
288,2001,12,"Spain","ES",10
289,2001,13,"Austria","AT",11
290,2001,14,"Finland","FI",5
291,2001,15,"Sweden","SE",9
292,2001,29,"Iceland","IS",0
293,2001,30,"Liechtenstein","LI",0
294,2001,31,"Norway","NO",0
295,2001,32,"Switzerland","CH",0
296,2001,33,"Turkey","TR",0
297,2001,34,"Commission","EC",150
298,2001,35,"European Free Trade Association","EFTA",2
299,2002,1,"Belgium","BE",3
300,2002,2,"France","FR",14
301,2002,3,"Germany","DE",27
302,2002,4,"Italy","IT",68
303,2002,5,"Luxembourg","LU",0
304,2002,6,"Netherlands","NL",8
305,2002,7,"Denmark","DK",3
306,2002,8,"Ireland","IE",1
307,2002,9,"United Kingdom","UK",14
308,2002,10,"Greece","EL",0
309,2002,11,"Portugal","PT",1
310,2002,12,"Spain","ES",25
311,2002,13,"Austria","AT",10
312,2002,14,"Finland","FI",6
313,2002,15,"Sweden","SE",11
314,2002,29,"Iceland","IS",0
315,2002,30,"Liechtenstein","LI",0
316,2002,31,"Norway","NO",0
317,2002,32,"Switzerland","CH",0
318,2002,33,"Turkey","TR",0
319,2002,34,"Commission","EC",155
320,2002,35,"European Free Trade Association","EFTA",0
321,2003,1,"Belgium","BE",1
322,2003,2,"France","FR",28
