"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","comment_ID","comment_by_ID","comment_by","comment_by_code"
39,"TRIS:1989:0139:BE:N",1,"Belgium","BE",1989-06-13,1989,1989-09-25,1989,"TRIS:1989:0139:BE:C:DK",7,"Denmark","DK"
40,"TRIS:1989:0140:ES:N",12,"Spain","ES",1989-06-13,1989,1989-09-28,1989,"TRIS:1989:0140:ES:C:EC",34,"Commission","EC"
41,"TRIS:1989:0141:ES:N",12,"Spain","ES",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:C:EC",34,"Commission","EC"
42,"TRIS:1989:0142:DE:N",3,"Germany","DE",1989-06-14,1989,1989-09-21,1989,"TRIS:1989:0142:DE:C:EC",34,"Commission","EC"
43,"TRIS:1989:0143:DE:N",3,"Germany","DE",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:EC",34,"Commission","EC"
44,"TRIS:1989:0149:IT:N",4,"Italy","IT",1989-06-21,1989,1989-10-02,1989,"TRIS:1989:0149:IT:C:FR",2,"France","FR"
45,"TRIS:1989:0151:ES:N",12,"Spain","ES",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:EC",34,"Commission","EC"
46,"TRIS:1989:0151:ES:N",12,"Spain","ES",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:UK",9,"United Kingdom","UK"
47,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:PT",11,"Portugal","PT"
48,"TRIS:1989:0157:NL:N",6,"Netherlands","NL",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:C:EL",10,"Greece","EL"
49,"TRIS:1989:0164:NL:N",6,"Netherlands","NL",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:C:DE",3,"Germany","DE"
50,"TRIS:1989:0164:NL:N",6,"Netherlands","NL",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:C:DK",7,"Denmark","DK"
51,"TRIS:1989:0165:FR:N",2,"France","FR",1989-07-12,1989,1990-08-02,1990,"TRIS:1989:0165:FR:C:ES",12,"Spain","ES"
52,"TRIS:1989:0166:DE:N",3,"Germany","DE",1989-07-12,1989,1989-11-27,1989,"TRIS:1989:0166:DE:C:EC",34,"Commission","EC"
53,"TRIS:1989:0171:DE:N",3,"Germany","DE",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:C:BE",1,"Belgium","BE"
54,"TRIS:1989:0176:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:DE",3,"Germany","DE"
55,"TRIS:1989:0176:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1989-12-08,1989,"TRIS:1989:0176:UK:C:EC",34,"Commission","EC"
56,"TRIS:1989:0177:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:EC",34,"Commission","EC"
57,"TRIS:1989:0177:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:ES",12,"Spain","ES"
58,"TRIS:1989:0178:PT:N",11,"Portugal","PT",1989-07-24,1989,1989-11-09,1989,"TRIS:1989:0178:PT:C:ES",12,"Spain","ES"
59,"TRIS:1989:0179:DE:N",3,"Germany","DE",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:DK",7,"Denmark","DK"
60,"TRIS:1989:0179:DE:N",3,"Germany","DE",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:UK",9,"United Kingdom","UK"
61,"TRIS:1989:0180:FR:N",2,"France","FR",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:C:EC",34,"Commission","EC"
62,"TRIS:1989:0195:DK:N",7,"Denmark","DK",1989-08-09,1989,1990-01-03,1990,"TRIS:1989:0195:DK:C:EC",34,"Commission","EC"
63,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:EC",34,"Commission","EC"
64,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IT",4,"Italy","IT"
65,"TRIS:1989:0200:NL:N",6,"Netherlands","NL",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:BE",1,"Belgium","BE"
66,"TRIS:1989:0201:BE:N",1,"Belgium","BE",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:C:FR",2,"France","FR"
67,"TRIS:1989:0207:DE:N",3,"Germany","DE",1989-08-18,1989,1989-11-27,1989,"TRIS:1989:0207:DE:C:FR",2,"France","FR"
68,"TRIS:1989:0214:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:C:FR",2,"France","FR"
69,"TRIS:1989:0215:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:C:EC",34,"Commission","EC"
70,"TRIS:1989:0215:BE:N",1,"Belgium","BE",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:C:ES",12,"Spain","ES"
71,"TRIS:1989:0216:EL:N",10,"Greece","EL",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:BE",1,"Belgium","BE"
72,"TRIS:1989:0216:EL:N",10,"Greece","EL",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:NL",6,"Netherlands","NL"
73,"TRIS:1989:0216:EL:N",10,"Greece","EL",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:UK",9,"United Kingdom","UK"
74,"TRIS:1989:0219:DE:N",3,"Germany","DE",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:BE",1,"Belgium","BE"
75,"TRIS:1989:0219:DE:N",3,"Germany","DE",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:FR",2,"France","FR"
76,"TRIS:1989:0220:ES:N",12,"Spain","ES",1989-09-12,1989,1990-04-05,1990,"TRIS:1989:0220:ES:C:FR",2,"France","FR"
