"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","opinion_ID","opinion_by"
41,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:EL","Greece"
42,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:FR","France"
43,"TRIS:1989:0106:DE:N","Germany",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:C:EC","Commission"
44,"TRIS:1989:0106:DE:N","Germany",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:C:FR","France"
45,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:FR","France"
46,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:IT","Italy"
47,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:NL","Netherlands"
48,"TRIS:1989:0115:NL:N","Netherlands",1989-05-23,1989,1989-11-24,1989,"TRIS:1989:0115:NL:C:FR","France"
49,"TRIS:1989:0116:NL:N","Netherlands",1989-05-23,1989,1989-11-27,1989,"TRIS:1989:0116:NL:C:FR","France"
50,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:DE","Germany"
51,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:FR","France"
52,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:UK","United Kingdom"
53,"TRIS:1989:0114:DE:N","Germany",1989-05-25,1989,1989-11-27,1989,"TRIS:1989:0114:DE:C:EC","Commission"
54,"TRIS:1989:0125:DE:N","Germany",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:C:EC","Commission"
55,"TRIS:1989:0125:DE:N","Germany",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:C:FR","France"
56,"TRIS:1989:0126:DE:N","Germany",1989-06-02,1989,1989-12-11,1989,"TRIS:1989:0126:DE:C:EC","Commission"
57,"TRIS:1989:0130:UK:N","United Kingdom",1989-06-05,1989,1989-12-18,1989,"TRIS:1989:0130:UK:C:DE","Germany"
58,"TRIS:1989:0131:DE:N","Germany",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:C:EC","Commission"
59,"TRIS:1989:0131:DE:N","Germany",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:C:FR","France"
60,"TRIS:1989:0132:DE:N","Germany",1989-06-05,1989,1990-01-22,1990,"TRIS:1989:0132:DE:C:EC","Commission"
61,"TRIS:1989:0133:DE:N","Germany",1989-06-07,1989,1989-12-14,1989,"TRIS:1989:0133:DE:C:EC","Commission"
62,"TRIS:1989:0135:IT:N","Italy",1989-06-07,1989,1990-01-03,1990,"TRIS:1989:0135:IT:C:EC","Commission"
63,"TRIS:1989:0137:BE:N","Belgium",1989-06-09,1989,1990-07-04,1990,"TRIS:1989:0137:BE:C:UK","United Kingdom"
64,"TRIS:1989:0138:DE:N","Germany",1989-06-12,1989,1989-12-20,1989,"TRIS:1989:0138:DE:C:EC","Commission"
65,"TRIS:1989:0141:ES:N","Spain",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:C:DK","Denmark"
66,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:FR","France"
67,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:UK","United Kingdom"
68,"TRIS:1989:0144:DE:N","Germany",1989-06-16,1989,1990-01-03,1990,"TRIS:1989:0144:DE:C:EC","Commission"
69,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:FR","France"
70,"TRIS:1989:0152:DE:N","Germany",1989-06-28,1989,1990-03-07,1990,"TRIS:1989:0152:DE:C:EC","Commission"
71,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:EC","Commission"
72,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:FR","France"
73,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:UK","United Kingdom"
74,"TRIS:1989:0155:BE:N","Belgium",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:C:DE","Germany"
75,"TRIS:1989:0155:BE:N","Belgium",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:C:FR","France"
76,"TRIS:1989:0155:BE:N","Belgium",1989-07-03,1989,1990-07-05,1990,"TRIS:1989:0155:BE:C:NL","Netherlands"
77,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:BE","Belgium"
78,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:EC","Commission"
79,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:FR","France"
80,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:IE","Ireland"
81,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:NL","Netherlands"
82,"TRIS:1989:0156:DE:N","Germany",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:C:UK","United Kingdom"
83,"TRIS:1989:0157:NL:N","Netherlands",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:C:FR","France"
84,"TRIS:1989:0157:NL:N","Netherlands",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:C:IT","Italy"
85,"TRIS:1989:0158:DE:N","Germany",1989-07-05,1989,1990-07-11,1990,"TRIS:1989:0158:DE:C:BE","Belgium"
86,"TRIS:1989:0158:DE:N","Germany",1989-07-05,1989,1990-07-11,1990,"TRIS:1989:0158:DE:C:NL","Netherlands"
87,"TRIS:1989:0159:DE:N","Germany",1989-07-05,1989,1990-01-12,1990,"TRIS:1989:0159:DE:C:FR","France"
88,"TRIS:1989:0163:UK:N","United Kingdom",1989-07-12,1989,1990-02-12,1990,"TRIS:1989:0163:UK:C:FR","France"
89,"TRIS:1989:0164:NL:N","Netherlands",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:C:UK","United Kingdom"
90,"TRIS:1989:0169:DE:N","Germany",1989-07-13,1989,1990-01-19,1990,"TRIS:1989:0169:DE:C:EC","Commission"
91,"TRIS:1989:0171:DE:N","Germany",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:C:EC","Commission"
92,"TRIS:1989:0171:DE:N","Germany",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:C:IT","Italy"
